headline,sentiment
RASETHUNYA O QETA SECHABA MAPOLESA A SHEBELETSE,negative
LIKHOMO TSA NKHONO LI FUMANOA NAHENG E 'NGOE,positive
BASALI BA BEHA KHUTLO KETEKELO EA KHOELI EA MOSALI OA MOAFRIKA,positive
MOKULI O LLA SEBOKO SE HLOMOLANG PELO SEPETLELE,negative
MEMO EA BOPHATLALATSI,neutral
MASOLE A QETA HO PHOLOSA MOSALI LE NYATSI LEFUNG,positive
BA QHAQHOLLA LEBITLA LA MOFU,negative
HO LEBELETSOE LEHLOA HAPE,neutral
NTLO EA MONNA E FEFOHILE,negative
'MUSO O TLA TŠOARA 'MOKA OA BAPHATLALATSI BA LITABA KAJENO,positive
KOMPONE E KOPA HO NYOLLA LITHEKO,negative
LEKHOTLA LE BA TIMA BEILE,positive
LETAMO LE KANNA LA TŠOLOHA,positive
KOMPONE E NEHELANA KA KOLOI HO SEPOLESA,positive
BOROKHO BO KHAOHILE HAPE TSEBISO E POTLAKILENG,negative
LETONA O FA MACANSALARA MATLA,positive
KOLOI E CHAISA BANA BA SEKOLO LE LEPOLESA ,negative
MOITHUTO OA SEKOLO O ARABA BATSOALI BA LLANG,neutral
MOSALI O UTSOA PHONE KOLOING EA BAETI SETEREKENG,negative
MOETAPELE O TŠEHETSA LIKOETA,negative
MOCHOCHISI O BOLILE JOALO KA LIRUOA,negative
OFISIRI E TSOELA MOLAOLI TAOLONG,negative
KE BATHO BA 54 BA TIMETSENG SELEMONG SENA ,negative
LEHLOA LESE LE KOALLETSE BATHO HLOKOMELANG,negative
MOSHANYANA A LILEMO LI 17 O TŠOAROA A BETA MOKOKO,negative
SEBONOANG SE BONOA KE BOHLE UTLOA NA MOFU O APERE JOANG MOHLOMONG U KA MO TSEBA,negative
TOROPO E NTSE E KENYA MABONE A MACHA,positive
TONAKHOLO O LAETA MABONE A TSELENG TOROPONG,positive
SESOLE SE PHOLOSA MEHLAPE MOTSENG,positive
O TEBETSOE SEKIRING KE HO NTŠA LIPOLI LESHOATA,negative
'MUSO O PHATLALATSA P.S. TSE NCHA,positive
SESOLE SE KHALEMA LITLOKOTSEBE ,positive
MOETAPELE O HLASELA SETHO SA PHATHI,negative
LITHO TSA MOKHA LI HANA KAHLOLO,negative
TONAKHOLO O ROETSE KA BOBOLU,negative
MALOME LE MOCHANA BA BOLOKUOE KAJENO ,negative
MONNA O BATLA M3 000 000,negative
TONAKHOLO O RE O FUMANE BAREKI BA TLA REKA LIHLAHISOA TSA LIFEME TSA NAHA,positive
SEPOLESA SE PHUTHA BAFU BA BABELI BA SETHUNYA,negative
MONGOLI O RE BA BATLANG HO LIHA 'MUSO BA LAOLOA KE LEPHAKO,negative
LEBONE LA TSOSOLOTSO LE TLA POTOLOHA LE LITEREKE,positive
